strategy,top_k,recall_at_k,mrr,ndcg_at_k,answer_exact_match,answerable_question_count,evidence_span_recall_at_k,evidence_question_count,total_question_count,avg_chunk_count,avg_chunk_length_chars,chunking_latency_ms,retrieval_latency_ms
fixed-128,5,0.38626609442060084,0.30972818311874106,0.6213409334911278,0.19383259911894274,227,0.0,205,233,31.612,811.0334050360623,0.0,5.378799978643656
sentence,5,0.4034334763948498,0.3050786838340486,0.6120866597146427,0.2511013215859031,227,0.004878048780487805,205,233,17.232,1490.2725162488393,0.0,8.257500012405217
paragraph,5,0.41201716738197425,0.32761087267525035,0.6192212773032223,0.2643171806167401,227,0.2048780487804878,205,233,9.324,2758.5817245817248,0.0,14.250800013542175
adaptive,5,0.4034334763948498,0.3165236051502146,0.6136476128971633,0.23348017621145375,227,0.17560975609756097,205,233,15.376,1672.015608740895,0.0,15.988900093361735
