rank,strategy,recall_at_k,mrr,evidence_span_recall_at_k,answer_exact_match,retrieval_latency_ms
1,paragraph,0.41201716738197425,0.32761087267525035,0.2048780487804878,0.2643171806167401,14.250800013542175
2,adaptive,0.4034334763948498,0.3165236051502146,0.17560975609756097,0.23348017621145375,15.988900093361735
3,sentence,0.4034334763948498,0.3050786838340486,0.004878048780487805,0.2511013215859031,8.257500012405217
4,fixed-128,0.38626609442060084,0.30972818311874106,0.0,0.19383259911894274,5.378799978643656
